{[18777, 930276]}
{[16407, 930320]}
{[16406, 930314]}
{[16405, 930314]}
{[16404, 930314]}
{[16403, 930319]}
{[16402, 930319]}
{[16401, 930319]}
{[16400, 930319]}
{[16399, 930319]}
{[16398, 930268]}
{[16397, 930268]}
{[16396, 930268]}
{[16395, 930268]}
{[16393, 930268]}
{[16380, 930437]}
{[16369, 930434]}
{[16356, 930432]}
{[16334, 930433]}
{[16253, 930432]}
{[16251, 930434]}
{[16246, 930432]}
{[16240, 930437]}
{[16237, 930437]}
{[16226, 930440]}
{[16192, 930432]}
{[16051, 930439]}
{[16038, 930433]}
{[16036, 930434]}
{[15883, 930436]}
{[15867, 930436]}
{[15858, 930440]}
{[15850, 930432]}
{[15729, 930274]}
{[15728, 930274]}
{[15727, 930274]}
{[15725, 930274]}
{[15724, 930274]}
{[15723, 930274]}
{[15721, 930274]}
{[15720, 930274]}
{[15719, 930274]}
{[15718, 930274]}
{[15717, 930274]}
{[15716, 930433]}
{[15714, 930274]}
{[15713, 930432]}
{[15712, 930274]}
{[15710, 930274]}
{[15709, 930274]}
{[15707, 930432]}
{[15704, 930274]}
{[15702, 930274]}
{[15701, 930274]}
{[15700, 930274]}
{[15698, 930274]}
{[15696, 930274]}
{[15694, 930274]}
{[15690, 930436]}
{[15689, 930274]}
{[15688, 930274]}
{[15686, 930274]}
{[15684, 930274]}
{[15683, 930274]}
{[15682, 930274]}
{[15677, 930274]}
{[15676, 930434]}
{[15673, 930432]}
{[15671, 930434]}
{[15669, 930274]}
{[15657, 930433]}
{[15652, 930432]}
{[15651, 930432]}
{[15645, 930484]}
{[15644, 930484]}
{[15643, 930484]}
{[15642, 930484]}
{[15641, 930484]}
{[15640, 930484]}
{[15615, 930280]}
{[15609, 930281]}
{[15432, 930434]}
{[15322, 930434]}
{[15311, 930434]}
{[15298, 930434]}
{[15295, 930432]}
{[15257, 930435]}
{[15255, 930440]}
{[15252, 930434]}
{[15165, 930431]}
{[15163, 930438]}
{[15140, 930436]}
{[15132, 930440]}
{[15117, 930431]}
{[15107, 930437]}
{[15087, 930434]}
{[15079, 930432]}
{[14976, 930445]}
{[14909, 930446]}
{[14899, 930346]}
{[14898, 930346]}
{[14875, 930383]}
{[14842, 930274]}
{[14841, 930274]}
{[14837, 930274]}
{[14835, 930274]}
{[14832, 930274]}
{[14829, 930274]}
{[14823, 930274]}
{[14822, 930432]}
{[14820, 930274]}
{[14819, 930274]}
{[14813, 930274]}
{[14811, 930274]}
{[14810, 930274]}
{[14808, 930274]}
{[14805, 930274]}
{[14803, 930274]}
{[14801, 930274]}
{[14798, 930274]}
{[14795, 930274]}
{[14794, 930432]}
{[14790, 930274]}
{[14788, 930274]}
{[14787, 930274]}
{[14786, 930435]}
{[14785, 930274]}
{[14658, 930484]}
{[14657, 930484]}
{[14656, 930484]}
{[14655, 930484]}
{[14593, 930442]}
{[14540, 930436]}
{[14530, 930436]}
{[14522, 930436]}
{[14507, 930434]}
{[14493, 930431]}
{[14484, 930433]}
{[14411, 930442]}
{[14388, 930442]}
{[14382, 930442]}
{[14380, 930442]}
{[14364, 930441]}
{[14348, 930441]}
{[14347, 930361]}
{[14346, 930346]}
{[14345, 930300]}
{[14344, 930337]}
{[14343, 930361]}
{[14342, 930268]}
{[14341, 930436]}
{[14340, 930300]}
{[14339, 930435]}
{[14338, 930300]}
{[14337, 930293]}
{[14336, 930435]}
{[14335, 930436]}
{[14334, 930294]}
{[14333, 930440]}
{[14332, 930361]}
{[14169, 930268]}
{[14120, 930379]}
{[14103, 930379]}
{[14100, 930379]}
{[14074, 930379]}
{[14073, 930379]}
{[14067, 930379]}
{[14064, 930379]}
{[14043, 930379]}
{[14042, 930379]}
{[14039, 930379]}
{[14038, 930420]}
{[14037, 930420]}
{[14036, 930420]}
{[14035, 930379]}
{[14020, 930379]}
{[13997, 930379]}
{[13958, 930379]}
{[13946, 930379]}
{[13943, 930320]}
{[13941, 930379]}
{[13924, 930418]}
{[13871, 930379]}
{[13865, 930379]}
{[13764, 930421]}
{[13740, 930367]}
{[13739, 930374]}
{[13737, 930402]}
{[13736, 930366]}
{[13734, 930383]}
{[13732, 930383]}
{[13731, 930383]}
{[13730, 930383]}
{[13729, 930383]}
{[13728, 930383]}
{[13727, 930383]}
{[13726, 930383]}
{[13725, 930374]}
{[13724, 930402]}
{[13723, 930374]}
{[13722, 930367]}
{[13721, 930374]}
{[13720, 930374]}
{[13718, 930374]}
{[13715, 930402]}
{[13713, 930402]}
{[13712, 930383]}
{[13711, 930383]}
{[13710, 930383]}
{[13709, 930383]}
{[13708, 930383]}
{[13707, 930383]}
{[13706, 930383]}
{[13705, 930371]}
{[13704, 930374]}
{[13703, 930371]}
{[13700, 930402]}
{[13699, 930366]}
{[13696, 930383]}
{[13694, 930383]}
{[13693, 930383]}
{[13691, 930402]}
{[13688, 930367]}
{[13687, 930402]}
{[13686, 930402]}
{[13685, 930402]}
{[13684, 930371]}
{[13682, 930374]}
{[13680, 930402]}
{[13679, 930374]}
{[13678, 930319]}
{[13677, 930402]}
{[13676, 930402]}
{[13675, 930366]}
{[13674, 930374]}
{[13673, 930383]}
{[13672, 930383]}
{[13671, 930383]}
{[13670, 930383]}
{[13669, 930371]}
{[13658, 930361]}
{[13657, 930361]}
{[13656, 930361]}
{[13655, 930366]}
{[13654, 930358]}
{[13650, 930361]}
{[13649, 930361]}
{[13645, 930358]}
{[13644, 930360]}
{[13643, 930360]}
{[13642, 930358]}
{[13641, 930366]}
{[13640, 930361]}
{[13639, 930360]}
{[13638, 930358]}
{[13637, 930358]}
{[13636, 930361]}
{[13635, 930358]}
{[13634, 930360]}
{[13633, 930361]}
{[13632, 930361]}
{[13631, 930361]}
{[13630, 930366]}
{[13629, 930361]}
{[13626, 930360]}
{[13625, 930361]}
{[13624, 930358]}
{[13623, 930361]}
{[13622, 930319]}
{[13621, 930319]}
{[13620, 930319]}
{[13619, 930366]}
{[13618, 930358]}
{[13617, 930358]}
{[13616, 930361]}
{[13613, 930361]}
{[13612, 930361]}
{[13611, 930361]}
{[13610, 930361]}
{[13597, 930328]}
{[13596, 930328]}
{[13594, 930334]}
{[13593, 930347]}
{[13592, 930347]}
{[13591, 930347]}
{[13590, 930347]}
{[13589, 930347]}
{[13588, 930347]}
{[13587, 930304]}
{[13586, 930419]}
{[13583, 930347]}
{[13582, 930347]}
{[13581, 930328]}
{[13579, 930304]}
{[13577, 930334]}
{[13571, 930410]}
{[13569, 930334]}
{[13568, 930328]}
{[13567, 930347]}
{[13566, 930347]}
{[13563, 930334]}
{[13562, 930328]}
{[13557, 930334]}
{[13556, 930328]}
{[13554, 930334]}
{[13553, 930334]}
{[13550, 930334]}
{[13548, 930346]}
{[13547, 930346]}
{[13546, 930328]}
{[13545, 930301]}
{[13544, 930304]}
{[13543, 930418]}
{[13542, 930337]}
{[13540, 930347]}
{[13539, 930347]}
{[13535, 930334]}
{[13534, 930301]}
{[13532, 930334]}
{[13531, 930328]}
{[13530, 930304]}
{[13529, 930301]}
{[13528, 930346]}
{[13527, 930417]}
{[13526, 930334]}
{[13525, 930304]}
{[13523, 930347]}
{[13522, 930328]}
{[13521, 930347]}
{[13518, 930418]}
{[13517, 930337]}
{[13516, 930304]}
{[13514, 930346]}
{[13513, 930304]}
{[13512, 930347]}
{[13511, 930334]}
{[13510, 930347]}
{[13507, 930334]}
{[13505, 930347]}
{[13502, 930334]}
{[13500, 930337]}
{[13499, 930301]}
{[13498, 930304]}
{[13497, 930346]}
{[13495, 930410]}
{[13494, 930347]}
{[13493, 930347]}
{[13489, 930347]}
{[13487, 930334]}
{[13486, 930347]}
{[13484, 930328]}
{[13483, 930420]}
{[13482, 930334]}
{[13475, 930316]}
{[13474, 930424]}
{[13473, 930314]}
{[13472, 930352]}
{[13471, 930475]}
{[13470, 930473]}
{[13469, 930473]}
{[13468, 930473]}
{[13466, 930475]}
{[13465, 930295]}
{[13464, 930304]}
{[13463, 930417]}
{[13462, 930442]}
{[13461, 930410]}
{[13459, 930296]}
{[13458, 930471]}
{[13457, 930414]}
{[13456, 930410]}
{[13455, 930417]}
{[13454, 930471]}
{[13453, 930434]}
{[13452, 930434]}
{[13451, 930434]}
{[13450, 930268]}
{[13449, 930425]}
{[13448, 930299]}
{[13447, 930434]}
{[13446, 930432]}
{[13443, 930268]}
{[13442, 930437]}
{[13439, 930433]}
{[13436, 930434]}
{[13435, 930437]}
{[13434, 930298]}
{[13433, 930320]}
{[13430, 930294]}
{[13429, 930315]}
{[13428, 930315]}
{[13427, 930477]}
{[13426, 930268]}
{[13425, 930312]}
{[13424, 930414]}
{[13423, 930473]}
{[13422, 930473]}
{[13421, 930315]}
{[13420, 930315]}
{[13419, 930473]}
{[13417, 930438]}
{[13416, 930439]}
{[13415, 930433]}
{[13414, 930304]}
{[13413, 930268]}
{[13411, 930432]}
{[13408, 930442]}
{[13405, 930414]}
{[13404, 930471]}
{[13400, 930316]}
{[13399, 930471]}
{[13398, 930471]}
{[13397, 930414]}
{[13395, 930471]}
{[13391, 930320]}
{[13390, 930304]}
{[13389, 930297]}
{[13388, 930268]}
{[13387, 930431]}
{[13386, 930295]}
{[13385, 930298]}
{[13382, 930431]}
{[13381, 930474]}
{[13380, 930410]}
{[13376, 930424]}
{[13369, 930475]}
{[13368, 930416]}
{[13367, 930316]}
{[13366, 930293]}
{[13365, 930304]}
{[13364, 930475]}
{[13363, 930296]}
{[13361, 930410]}
{[13360, 930316]}
{[13359, 930320]}
{[13357, 930319]}
{[13355, 930319]}
{[13354, 930319]}
{[13352, 930306]}
{[13350, 930319]}
{[13349, 930319]}
{[13348, 930302]}
{[13347, 930306]}
{[13143, 930361]}
{[13142, 930361]}
{[13141, 930361]}
{[13140, 930361]}
{[13139, 930361]}
{[13138, 930361]}
{[13137, 930361]}
{[13136, 930361]}
{[13135, 930361]}
{[13134, 930361]}
{[13133, 930361]}
{[13132, 930361]}
{[13131, 930383]}
{[13130, 930383]}
{[13129, 930383]}
{[13128, 930383]}
{[13127, 930383]}
{[13126, 930383]}
{[13125, 930383]}
{[13124, 930383]}
{[13123, 930383]}
{[13122, 930383]}
{[13121, 930383]}
{[13120, 930383]}
{[13119, 930383]}
{[13118, 930383]}
{[13117, 930383]}
{[13116, 930383]}
{[13115, 930383]}
{[13114, 930383]}
{[13113, 930383]}
{[13112, 930383]}
{[13111, 930383]}
{[13110, 930383]}
{[13109, 930383]}
{[13108, 930383]}
{[13107, 930383]}
{[13106, 930383]}
{[13105, 930383]}
{[13104, 930383]}
{[13103, 930383]}
{[13102, 930383]}
{[13101, 930383]}
{[13100, 930383]}
{[13099, 930383]}
{[13098, 930383]}
{[13097, 930383]}
{[13096, 930383]}
{[13095, 930383]}
{[13094, 930383]}
{[13093, 930383]}
{[13092, 930383]}
{[13091, 930383]}
{[13090, 930383]}
{[13089, 930383]}
{[13088, 930383]}
{[13087, 930383]}
{[13086, 930383]}
{[13085, 930383]}
{[13084, 930383]}
{[13083, 930383]}
{[13082, 930383]}
{[13081, 930383]}
{[13080, 930383]}
{[13079, 930383]}
{[13078, 930383]}
{[13077, 930383]}
{[13076, 930383]}
{[13075, 930383]}
{[13074, 930383]}
{[13073, 930383]}
{[13072, 930383]}
{[13071, 930383]}
{[13070, 930383]}
{[13069, 930383]}
{[13068, 930383]}
{[13067, 930383]}
{[13066, 930383]}
{[13065, 930383]}
{[13064, 930383]}
{[13063, 930383]}
{[13062, 930383]}
{[13061, 930383]}
{[13060, 930383]}
{[13059, 930383]}
{[13058, 930383]}
{[13057, 930383]}
{[13056, 930383]}
{[13055, 930383]}
{[13054, 930383]}
{[13053, 930383]}
{[13052, 930383]}
{[13051, 930383]}
{[13050, 930383]}
{[13049, 930383]}
{[13048, 930383]}
{[13047, 930383]}
{[13046, 930383]}
{[13045, 930383]}
{[13044, 930383]}
{[13043, 930383]}
{[13042, 930383]}
{[13041, 930383]}
{[13040, 930383]}
{[13039, 930383]}
{[13038, 930383]}
{[13037, 930383]}
{[13036, 930383]}
{[13035, 930383]}
{[13034, 930383]}
{[13033, 930383]}
{[13032, 930383]}
{[13031, 930383]}
{[13030, 930383]}
{[13029, 930383]}
{[13028, 930383]}
{[13027, 930383]}
{[13026, 930383]}
{[13025, 930383]}
{[13024, 930383]}
{[13023, 930383]}
{[13022, 930383]}
{[13021, 930383]}
{[13020, 930383]}
{[13019, 930383]}
{[13018, 930383]}
{[13017, 930383]}
{[13016, 930383]}
{[13015, 930361]}
{[13014, 930361]}
{[13013, 930361]}
{[13012, 930361]}
{[13011, 930361]}
{[13010, 930361]}
{[13009, 930361]}
{[13008, 930361]}
{[13007, 930361]}
{[13006, 930361]}
{[13005, 930361]}
{[13004, 930361]}
{[13003, 930361]}
{[13002, 930361]}
{[13001, 930361]}
{[13000, 930361]}
{[12999, 930361]}
{[12998, 930361]}
{[12997, 930361]}
{[12996, 930361]}
{[12995, 930361]}
{[12994, 930361]}
{[12993, 930361]}
{[12992, 930361]}
{[12991, 930361]}
{[12990, 930361]}
{[12989, 930361]}
{[12988, 930361]}
{[12987, 930361]}
{[12986, 930361]}
{[12985, 930361]}
{[12984, 930361]}
{[12983, 930361]}
{[12982, 930361]}
{[12981, 930361]}
{[12980, 930361]}
{[12979, 930361]}
{[12978, 930361]}
{[12977, 930361]}
{[12976, 930361]}
{[12975, 930361]}
{[12974, 930361]}
{[12973, 930361]}
{[12972, 930361]}
{[12971, 930361]}
{[12970, 930361]}
{[12969, 930361]}
{[12968, 930361]}
{[12967, 930361]}
{[12966, 930361]}
{[12965, 930361]}
{[12964, 930361]}
{[12963, 930361]}
{[12962, 930361]}
{[12961, 930361]}
{[12960, 930361]}
{[12959, 930361]}
{[12958, 930361]}
{[12957, 930361]}
{[12956, 930361]}
{[12955, 930361]}
{[12954, 930361]}
{[12953, 930361]}
{[12952, 930361]}
{[12951, 930361]}
{[12950, 930361]}
{[12949, 930361]}
{[12948, 930361]}
{[12947, 930361]}
{[12946, 930361]}
{[12945, 930361]}
{[12944, 930361]}
{[12943, 930361]}
{[12942, 930361]}
{[12941, 930361]}
{[12940, 930361]}
{[12939, 930361]}
{[12938, 930361]}
{[12937, 930361]}
{[12936, 930361]}
{[12935, 930361]}
{[12934, 930361]}
{[12933, 930361]}
{[12932, 930361]}
{[12931, 930361]}
{[12930, 930361]}
{[12929, 930361]}
{[12928, 930361]}
{[12927, 930361]}
{[12926, 930361]}
{[12925, 930361]}
{[12924, 930361]}
{[12923, 930361]}
{[12922, 930361]}
{[12921, 930361]}
{[12920, 930361]}
{[12919, 930361]}
{[12918, 930361]}
{[12917, 930361]}
{[12916, 930361]}
{[12915, 930361]}
{[12914, 930361]}
{[12913, 930361]}
{[12912, 930361]}
{[12911, 930361]}
{[12910, 930361]}
{[12909, 930361]}
{[12908, 930361]}
{[12907, 930361]}
{[12906, 930361]}
{[12905, 930361]}
{[12904, 930361]}
{[12903, 930361]}
{[12902, 930361]}
{[12901, 930361]}
{[12900, 930361]}
{[12899, 930361]}
{[12898, 930361]}
{[12897, 930361]}
{[12896, 930361]}
{[12864, 930432]}
{[12861, 930436]}
{[12860, 930431]}
{[12859, 930436]}
{[12858, 930431]}
{[12857, 930436]}
{[12856, 930432]}
{[12854, 930431]}
{[12853, 930431]}
{[12851, 930436]}
{[12850, 930431]}
{[12848, 930437]}
{[12847, 930436]}
{[12846, 930432]}
{[12844, 930432]}
{[12843, 930437]}
{[12841, 930433]}
{[12840, 930431]}
{[12839, 930440]}
{[12838, 930431]}
{[12837, 930431]}
{[12836, 930436]}
{[12835, 930431]}
{[12832, 930431]}
{[12829, 930438]}
{[12827, 930434]}
{[12826, 930437]}
{[12825, 930434]}
{[12824, 930436]}
{[12823, 930438]}
{[12822, 930437]}
{[12821, 930432]}
{[12820, 930431]}
{[12819, 930434]}
{[12818, 930437]}
{[12817, 930431]}
{[12816, 930438]}
{[12815, 930436]}
{[12654, 930433]}
{[12646, 930434]}
{[12637, 930432]}
{[12635, 930440]}
{[12629, 930434]}
{[12626, 930433]}
{[12624, 930434]}
{[12623, 930437]}
{[12621, 930432]}
{[12608, 930431]}
{[12607, 930431]}
{[12601, 930434]}
{[12592, 930434]}
{[12590, 930438]}
{[12503, 930366]}
{[12502, 930366]}
{[12496, 930366]}
{[12495, 930366]}
{[12493, 930315]}
{[12491, 930366]}
{[12490, 930366]}
{[12489, 930366]}
{[12488, 930366]}
{[12484, 930366]}
{[12483, 930366]}
{[12479, 930366]}
{[12478, 930366]}
{[12477, 930366]}
{[12476, 930366]}
{[12361, 930434]}
{[12360, 930438]}
{[12359, 930433]}
{[12357, 930431]}
{[12354, 930435]}
{[12351, 930431]}
{[12350, 930435]}
{[12243, 930358]}
{[12241, 930358]}
{[12207, 930352]}
{[12170, 930367]}
{[12163, 930367]}
{[12112, 930471]}
{[12087, 930434]}
{[12071, 930436]}
{[12043, 930451]}
{[12042, 930450]}
{[12041, 930471]}
{[11994, 930433]}
{[11989, 930431]}
{[11985, 930431]}
{[11979, 930432]}
{[11975, 930436]}
{[11961, 930433]}
{[11899, 930438]}
{[11898, 930433]}
{[11896, 930436]}
{[11890, 930434]}
{[11887, 930438]}
{[11886, 930439]}
{[11884, 930434]}
{[11877, 930434]}
{[11875, 930433]}
{[11869, 930434]}
{[11863, 930433]}
{[11859, 930434]}
{[11857, 930440]}
{[11856, 930434]}
{[11855, 930433]}
{[11854, 930431]}
{[11853, 930437]}
{[11846, 930431]}
{[11842, 930431]}
{[11836, 930434]}
{[11762, 930274]}
{[11761, 930431]}
{[11760, 930274]}
{[11759, 930274]}
{[11758, 930436]}
{[11757, 930274]}
{[11756, 930274]}
{[11754, 930274]}
{[11752, 930433]}
{[11749, 930274]}
{[11748, 930439]}
{[11746, 930433]}
{[11740, 930274]}
{[11739, 930434]}
{[11737, 930432]}
{[11736, 930438]}
{[11735, 930274]}
{[11734, 930274]}
{[11733, 930434]}
{[11732, 930274]}
{[11731, 930274]}
{[11729, 930274]}
{[11727, 930274]}
{[11726, 930274]}
{[11724, 930274]}
{[11722, 930274]}
{[11721, 930431]}
{[11720, 930437]}
{[11718, 930274]}
{[11717, 930274]}
{[11602, 930294]}
{[11601, 930293]}
{[11600, 930294]}
{[11599, 930295]}
{[11598, 930294]}
{[11597, 930294]}
{[11596, 930294]}
{[11595, 930293]}
{[11594, 930294]}
{[11593, 930294]}
{[11581, 930434]}
{[11579, 930434]}
{[11575, 930431]}
{[11573, 930434]}
{[11570, 930434]}
{[11569, 930440]}
{[11565, 930438]}
{[11562, 930432]}
{[11560, 930433]}
{[11558, 930432]}
{[11554, 930434]}
{[11553, 930431]}
{[11550, 930440]}
{[11481, 930431]}
{[11480, 930431]}
{[10033, 930468]}
{[10032, 930466]}
{[10031, 930467]}
{[10005, 930441]}
{[10004, 930441]}
{[10003, 930441]}
{[10002, 930441]}
{[10001, 930441]}
{[10000, 930441]}
{[9999, 930441]}
{[9998, 930441]}
{[9996, 930441]}
{[9995, 930471]}
{[9994, 930471]}
{[9993, 930471]}
{[9991, 930471]}
{[9990, 930471]}
{[9988, 930440]}
{[9987, 930438]}
{[9984, 930438]}
{[9983, 930437]}
{[9982, 930434]}
{[9981, 930432]}
{[9980, 930437]}
{[9978, 930436]}
{[9976, 930434]}
{[9975, 930439]}
{[9974, 930432]}
{[9972, 930434]}
{[9971, 930434]}
{[9969, 930431]}
{[9965, 930433]}
{[9964, 930432]}
{[9963, 930432]}
{[9962, 930432]}
{[9961, 930433]}
{[9960, 930434]}
{[9959, 930432]}
{[9957, 930437]}
{[9956, 930439]}
{[9955, 930433]}
{[9939, 930292]}
{[9788, 930424]}
{[9767, 930424]}
{[9750, 930424]}
{[9712, 930358]}
{[9709, 930319]}
{[9705, 930358]}
{[9704, 930358]}
{[9703, 930337]}
{[9699, 930337]}
{[9697, 930337]}
{[9693, 930337]}
{[9689, 930337]}
{[9681, 930337]}
{[9675, 930358]}
{[9674, 930358]}
{[9673, 930358]}
{[9672, 930358]}
{[9671, 930358]}
{[9669, 930358]}
{[9668, 930358]}
{[9667, 930358]}
{[9666, 930358]}
{[9665, 930358]}
{[9664, 930358]}
{[9663, 930358]}
{[9662, 930358]}
{[9660, 930358]}
{[9659, 930358]}
{[9657, 930358]}
{[9656, 930358]}
{[9655, 930358]}
{[9653, 930358]}
{[9650, 930358]}
{[9649, 930358]}
{[9648, 930358]}
{[9647, 930358]}
{[9646, 930358]}
{[9645, 930358]}
{[9643, 930358]}
{[9642, 930358]}
{[9639, 930358]}
{[9638, 930358]}
{[9637, 930358]}
{[9636, 930358]}
{[9635, 930358]}
{[9634, 930358]}
{[9633, 930358]}
{[9632, 930358]}
{[9630, 930358]}
{[9629, 930358]}
{[9628, 930358]}
{[9626, 930358]}
{[9625, 930358]}
{[9541, 930424]}
{[9477, 930424]}
{[9473, 930424]}
{[9434, 930319]}
{[9433, 930482]}
{[9415, 930418]}
{[9414, 930410]}
{[9412, 930410]}
{[9411, 930410]}
{[9408, 930418]}
{[9406, 930410]}
{[9284, 930374]}
{[9283, 930374]}
{[9248, 930274]}
{[9247, 930274]}
{[9246, 930274]}
{[9245, 930274]}
{[9244, 930274]}
{[9243, 930274]}
{[9242, 930274]}
{[9241, 930274]}
{[9240, 930274]}
{[9239, 930274]}
{[9238, 930274]}
{[9237, 930274]}
{[9236, 930274]}
{[9235, 930274]}
{[9234, 930274]}
{[9233, 930274]}
{[9232, 930274]}
{[9231, 930274]}
{[9230, 930274]}
{[9228, 930274]}
{[9227, 930274]}
{[9226, 930274]}
{[9225, 930274]}
{[9224, 930274]}
{[9223, 930274]}
{[9222, 930274]}
{[9221, 930274]}
{[9126, 930471]}
{[9125, 930471]}
{[9093, 930424]}
{[9092, 930424]}
{[9091, 930424]}
{[9090, 930424]}
{[9023, 930360]}
{[9022, 930360]}
{[9021, 930360]}
{[9016, 930360]}
{[9013, 930360]}
{[9012, 930360]}
{[9011, 930360]}
{[9010, 930360]}
{[9009, 930360]}
{[9006, 930360]}
{[9005, 930360]}
{[9003, 930360]}
{[9002, 930360]}
{[9001, 930360]}
{[9000, 930360]}
{[8999, 930360]}
{[8997, 930360]}
{[8995, 930360]}
{[8994, 930360]}
{[8911, 930481]}
{[8807, 930481]}
{[8788, 930447]}
{[8758, 930483]}
{[8757, 930483]}
{[8756, 930483]}
{[8701, 930402]}
{[8667, 930295]}
{[8664, 930295]}
{[8663, 930295]}
{[8662, 930295]}
{[8660, 930295]}
{[8658, 930295]}
{[8656, 930295]}
{[8655, 930295]}
{[8654, 930295]}
{[8653, 930295]}
{[8433, 930478]}
{[8422, 930477]}
{[8395, 930352]}
{[8356, 930319]}
{[8285, 930410]}
{[8271, 930410]}
{[8265, 930410]}
{[8240, 930425]}
{[8239, 930425]}
{[8213, 930316]}
{[8170, 930316]}
{[8067, 930296]}
{[8066, 930296]}
{[8061, 930294]}
{[8060, 930294]}
{[8059, 930297]}
{[8058, 930297]}
{[8057, 930297]}
{[8056, 930297]}
{[8055, 930295]}
{[8054, 930294]}
{[8053, 930297]}
{[8052, 930297]}
{[8051, 930297]}
{[8050, 930297]}
{[8049, 930293]}
{[8048, 930294]}
{[8047, 930294]}
{[8046, 930297]}
{[8045, 930297]}
{[8044, 930297]}
{[8043, 930297]}
{[8042, 930294]}
{[8041, 930293]}
{[8040, 930410]}
{[8039, 930410]}
{[8038, 930410]}
{[8037, 930410]}
{[8036, 930410]}
{[8006, 930302]}
{[7944, 930302]}
{[7943, 930302]}
{[7941, 930302]}
{[7940, 930302]}
{[7924, 930274]}
{[7893, 930274]}
{[7892, 930274]}
{[7891, 930274]}
